Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,1547.150024,1575.104980,1545.030029,1559.130005,1559.130005,1540000
2020-10-16,1565.849976,1581.130005,1563.000000,1573.010010,1573.010010,1434700
2020-10-19,1580.459961,1588.150024,1528.000000,1534.609985,1534.609985,1607100
2020-10-20,1527.050049,1577.500000,1525.670044,1555.930054,1555.930054,2241700
2020-10-21,1573.329956,1618.729980,1571.630005,1593.310059,1593.310059,2568300
2020-10-22,1593.050049,1621.989990,1585.000000,1615.329956,1615.329956,1433600
2020-10-23,1626.069946,1642.359985,1620.510010,1641.000000,1641.000000,1375800
2020-10-26,1625.010010,1638.239990,1576.500000,1590.449951,1590.449951,1853300
2020-10-27,1595.670044,1606.844971,1582.780029,1604.260010,1604.260010,1229000
2020-10-28,1559.739990,1561.349976,1514.619995,1516.619995,1516.619995,1834000
2020-10-29,1522.359985,1593.709961,1522.239990,1567.239990,1567.239990,2003100
2020-10-30,1672.109985,1687.000000,1604.459961,1621.010010,1621.010010,4329100
2020-11-02,1628.160034,1660.770020,1616.030029,1626.030029,1626.030029,2535400
2020-11-03,1631.780029,1661.699951,1616.619995,1650.209961,1650.209961,1661700
2020-11-04,1710.280029,1771.364990,1706.030029,1749.130005,1749.130005,3570900
2020-11-05,1781.000000,1793.640015,1750.510010,1763.369995,1763.369995,2065800
2020-11-06,1753.949951,1772.430054,1740.349976,1761.750000,1761.750000,1660900
2020-11-09,1790.900024,1818.060059,1760.020020,1763.000000,1763.000000,2268300
2020-11-10,1731.089966,1763.000000,1717.300049,1740.390015,1740.390015,2636100
2020-11-11,1750.000000,1764.219971,1747.364990,1752.709961,1752.709961,1264000
2020-11-12,1747.630005,1768.270020,1745.599976,1749.839966,1749.839966,1247500
2020-11-13,1757.630005,1781.040039,1744.550049,1777.020020,1777.020020,1499900
2020-11-16,1771.699951,1799.069946,1767.689941,1781.380005,1781.380005,1246800
2020-11-17,1776.939941,1785.000000,1767.000000,1770.150024,1770.150024,1147100
2020-11-18,1765.229980,1773.469971,1746.140015,1746.780029,1746.780029,1173500
2020-11-19,1738.380005,1769.589966,1737.005005,1763.920044,1763.920044,1249900
2020-11-20,1765.209961,1774.000000,1741.859985,1742.189941,1742.189941,2313500
2020-11-23,1749.599976,1753.900024,1717.719971,1734.859985,1734.859985,2161600
2020-11-24,1730.500000,1771.599976,1727.689941,1768.880005,1768.880005,1578000
2020-11-25,1772.890015,1778.540039,1756.540039,1771.430054,1771.430054,1045800
2020-11-27,1773.089966,1804.000000,1772.439941,1793.189941,1793.189941,884900
2020-11-30,1781.183960,1788.064941,1755.000000,1760.739990,1760.739990,1823800
2020-12-01,1774.369995,1824.829956,1769.369995,1798.099976,1798.099976,1739000
2020-12-02,1798.099976,1835.650024,1789.473022,1827.949951,1827.949951,1222000
2020-12-03,1824.010010,1847.199951,1822.650024,1826.770020,1826.770020,1227300
2020-12-04,1824.520020,1833.160034,1816.989990,1827.989990,1827.989990,1378200
2020-12-07,1819.000000,1832.369995,1805.780029,1819.479980,1819.479980,1320900
2020-12-08,1810.099976,1821.900024,1796.204956,1818.550049,1818.550049,1096300
2020-12-09,1812.010010,1834.270020,1767.810059,1784.130005,1784.130005,1507600
2020-12-10,1769.800049,1781.310059,1740.319946,1775.329956,1775.329956,1362800
2020-12-11,1763.060059,1784.449951,1760.000000,1781.770020,1781.770020,1220700
2020-12-14,1775.000000,1797.390015,1757.214966,1760.060059,1760.060059,1600200
2020-12-15,1764.420044,1771.420044,1749.949951,1767.770020,1767.770020,1482300
2020-12-16,1772.880005,1773.000000,1756.079956,1763.000000,1763.000000,1513500
2020-12-17,1768.510010,1771.784058,1738.660034,1747.900024,1747.900024,1624700
2020-12-18,1754.180054,1755.109985,1720.219971,1731.010010,1731.010010,4016400
2020-12-21,1713.510010,1740.849976,1699.000000,1739.369995,1739.369995,1828400
2020-12-22,1734.430054,1737.405029,1712.574951,1723.500000,1723.500000,936700
2020-12-23,1728.109985,1747.989990,1725.040039,1732.380005,1732.380005,1033800
2020-12-24,1735.000000,1746.000000,1729.109985,1738.849976,1738.849976,346800
2020-12-28,1751.635010,1790.728027,1746.334961,1776.089966,1776.089966,1393000
2020-12-29,1787.790039,1792.439941,1756.089966,1758.719971,1758.719971,1299400
2020-12-30,1762.010010,1765.094971,1725.599976,1739.520020,1739.520020,1306100
2020-12-31,1735.420044,1758.930054,1735.420044,1751.880005,1751.880005,1011900
2021-01-04,1757.540039,1760.650024,1707.849976,1728.239990,1728.239990,1901900
2021-01-05,1725.000000,1747.670044,1718.015015,1740.920044,1740.920044,1145300
2021-01-06,1702.630005,1748.000000,1699.000000,1735.290039,1735.290039,2602100
2021-01-07,1740.060059,1788.400024,1737.050049,1787.250000,1787.250000,2265000
2021-01-08,1787.979980,1809.839966,1773.535034,1807.209961,1807.209961,2050600
2021-01-11,1786.069946,1794.314941,1760.520020,1766.719971,1766.719971,1209700
2021-01-12,1753.920044,1778.040039,1725.310059,1746.550049,1746.550049,1357700
2021-01-13,1738.579956,1765.035034,1738.010010,1754.400024,1754.400024,1094100
2021-01-14,1753.619995,1775.010010,1733.400024,1740.180054,1740.180054,1179500
2021-01-15,1738.189941,1756.000000,1721.550049,1736.189941,1736.189941,1342200
2021-01-19,1752.250000,1809.275024,1741.459961,1790.859985,1790.859985,1734600
2021-01-20,1831.459961,1903.709961,1825.530029,1886.900024,1886.900024,2490300
2021-01-21,1898.000000,1934.859985,1887.109985,1891.250000,1891.250000,2063900
2021-01-22,1895.680054,1910.949951,1881.760010,1901.050049,1901.050049,1272100
2021-01-25,1920.670044,1929.579956,1867.530029,1899.400024,1899.400024,1927300
2021-01-26,1888.839966,1925.000000,1884.244995,1917.239990,1917.239990,1313100
2021-01-27,1882.530029,1890.000000,1809.000000,1830.790039,1830.790039,2748300
2021-01-28,1843.939941,1898.829956,1842.640015,1863.109985,1863.109985,1773100
2021-01-29,1846.170044,1857.280029,1810.199951,1835.739990,1835.739990,1612600
2021-02-01,1853.569946,1922.391968,1850.930054,1901.349976,1901.349976,1602200
2021-02-02,1922.560059,1955.760010,1914.489990,1927.510010,1927.510010,2273700
2021-02-03,2073.000000,2116.500000,2018.380005,2070.070068,2070.070068,4118200
2021-02-04,2068.889893,2078.550049,2042.589966,2062.370117,2062.370117,1852300
2021-02-05,2070.000000,2102.510010,2059.330078,2098.000000,2098.000000,1533900
2021-02-08,2105.909912,2123.547119,2072.000000,2092.909912,2092.909912,1241900
2021-02-09,2078.540039,2105.129883,2078.540039,2083.510010,2083.510010,889900
2021-02-10,2094.209961,2108.370117,2063.090088,2095.379883,2095.379883,1135500
2021-02-11,2099.510010,2102.030029,2077.320068,2095.889893,2095.889893,945200
2021-02-12,2090.250000,2108.820068,2083.129883,2104.110107,2104.110107,855700
2021-02-16,2104.360107,2152.679932,2104.360107,2121.899902,2121.899902,1133800
2021-02-17,2100.000000,2133.659912,2098.919922,2128.310059,2128.310059,1070900
2021-02-18,2110.389893,2132.735107,2103.709961,2117.199951,2117.199951,1121600
2021-02-19,2119.270020,2130.530029,2097.409912,2101.139893,2101.139893,1457400
2021-02-22,2067.000000,2091.419922,2062.139893,2064.879883,2064.879883,1367500
2021-02-23,2025.010010,2082.010010,2002.020020,2070.860107,2070.860107,1667400
2021-02-24,2041.829956,2100.780029,2038.130005,2095.169922,2095.169922,1248300
2021-02-25,2067.449951,2094.879883,2021.290039,2031.359985,2031.359985,1828400
2021-02-26,2050.520020,2071.010010,2016.060059,2036.859985,2036.859985,2083500
2021-03-01,2056.520020,2086.520020,2046.099976,2081.510010,2081.510010,1404500
2021-03-02,2076.189941,2104.370117,2071.260010,2075.840088,2075.840088,1133600
2021-03-03,2067.209961,2088.518066,2010.000000,2026.709961,2026.709961,1483100
2021-03-04,2023.369995,2089.239990,2020.270020,2049.090088,2049.090088,2116100
2021-03-05,2073.120117,2118.110107,2046.415039,2108.540039,2108.540039,2193800
2021-03-08,2101.129883,2128.810059,2021.609985,2024.170044,2024.170044,1646000
2021-03-09,2070.000000,2078.040039,2047.829956,2052.699951,2052.699951,1696400
2021-03-10,2071.760010,2075.000000,2033.369995,2055.030029,2055.030029,1267800
2021-03-11,2074.060059,2125.699951,2072.379883,2114.770020,2114.770020,1238300
2021-03-12,2085.000000,2090.260010,2047.550049,2061.919922,2061.919922,1725000
2021-03-15,2062.300049,2067.060059,2043.510010,2066.489990,2066.489990,1298100
2021-03-16,2078.989990,2123.560059,2070.000000,2092.520020,2092.520020,1490600
2021-03-17,2076.030029,2109.780029,2054.000000,2091.080078,2091.080078,1297500
2021-03-18,2061.000000,2075.500000,2033.550049,2036.219971,2036.219971,1361400
2021-03-19,2042.050049,2053.100098,2017.680054,2043.199951,2043.199951,2314400
2021-03-22,2041.839966,2057.989990,2026.069946,2038.589966,2038.589966,1954800
2021-03-23,2051.699951,2072.302002,2039.219971,2052.959961,2052.959961,1367000
2021-03-24,2065.370117,2078.209961,2041.555054,2045.060059,2045.060059,1154000
2021-03-25,2044.810059,2058.870117,2010.729980,2044.359985,2044.359985,1418900
2021-03-26,2038.859985,2050.989990,2014.020020,2035.550049,2035.550049,1493500
2021-03-29,2027.880005,2058.429932,2015.619995,2055.949951,2055.949951,1229800
2021-03-30,2057.629883,2070.780029,2044.030029,2055.540039,2055.540039,1036600
2021-03-31,2059.120117,2093.326904,2056.745117,2068.629883,2068.629883,1459900
2021-04-01,2097.949951,2142.939941,2096.889893,2137.750000,2137.750000,1699000
2021-04-05,2152.939941,2237.310059,2151.620117,2225.550049,2225.550049,2164900
2021-04-06,2222.500000,2237.659912,2214.800049,2224.750000,2224.750000,1353000
2021-04-07,2226.129883,2255.000000,2225.330078,2249.679932,2249.679932,1289900
2021-04-08,2277.959961,2284.004883,2257.679932,2265.439941,2265.439941,1358300
2021-04-09,2256.699951,2289.040039,2253.714111,2285.879883,2285.879883,1043600
2021-04-12,2266.250000,2275.320068,2238.465088,2254.790039,2254.790039,1565900
2021-04-13,2261.469971,2277.209961,2256.090088,2267.270020,2267.270020,1165500
2021-04-14,2275.159912,2277.989990,2249.189941,2254.840088,2254.840088,1011000
2021-04-15,2276.979980,2306.596924,2266.000000,2296.659912,2296.659912,1373600
2021-04-16,2303.000000,2306.439941,2284.449951,2297.760010,2297.760010,1129800
2021-04-19,2291.979980,2318.449951,2287.844971,2302.399902,2302.399902,1234400
