Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,124.080002,125.220001,123.849998,124.889999,121.481575,3385300
2020-10-16,125.169998,126.430000,124.660004,125.930000,122.493195,4710400
2020-10-19,126.800003,127.349998,125.080002,125.519997,122.094376,7478700
2020-10-20,119.800003,120.150002,116.839996,117.370003,114.166809,21501100
2020-10-21,116.660004,117.690002,114.790001,115.059998,111.919846,9755300
2020-10-22,115.000000,116.059998,112.980003,115.760002,112.600746,7855800
2020-10-23,116.500000,116.620003,115.529999,116.000000,112.834198,3893400
2020-10-26,114.449997,114.900002,111.839996,112.220001,109.157356,7203400
2020-10-27,112.150002,112.220001,110.029999,110.559998,107.542664,5936100
2020-10-28,108.660004,109.730003,105.919998,106.650002,103.739372,9427300
2020-10-29,107.250000,109.639999,106.550003,108.910004,105.937698,6760200
2020-10-30,107.900002,111.800003,107.750000,111.660004,108.612648,7921500
2020-11-02,112.650002,113.830002,112.250000,112.910004,109.828529,5311500
2020-11-03,114.000000,115.650002,113.629997,114.160004,111.044411,4204300
2020-11-04,112.330002,113.910004,111.160004,111.900002,108.846092,5800100
2020-11-05,113.300003,115.290001,113.010002,114.769997,111.637764,4902200
2020-11-06,115.080002,115.099998,113.389999,114.040001,110.927689,5249200
2020-11-09,117.879997,119.739998,115.269997,115.529999,114.006546,8992200
2020-11-10,116.690002,118.169998,116.250000,117.910004,116.355171,5622800
2020-11-11,118.120003,118.349998,116.220001,117.199997,115.654526,4289600
2020-11-12,115.629997,116.370003,113.480003,114.500000,112.990128,6498200
2020-11-13,115.190002,117.370003,115.010002,116.849998,115.309143,4682600
2020-11-16,118.300003,118.550003,117.120003,118.360001,116.799232,5293400
2020-11-17,117.599998,118.540001,117.070000,117.699997,116.147934,4134500
2020-11-18,117.720001,118.879997,116.750000,116.769997,115.230194,4606800
2020-11-19,116.540001,117.449997,115.889999,117.180000,115.634789,3439600
2020-11-20,117.599998,118.040001,116.690002,116.940002,115.397957,5024300
2020-11-23,117.430000,120.519997,117.269997,120.089996,118.506416,5650400
2020-11-24,120.860001,124.730003,120.809998,124.419998,122.779320,7752500
2020-11-25,122.930000,124.330002,122.110001,124.199997,122.562218,4135900
2020-11-27,124.199997,125.309998,123.910004,124.349998,122.710243,2091200
2020-11-30,124.099998,125.000000,123.089996,123.519997,121.891182,5988000
2020-12-01,123.900002,125.830002,123.080002,123.160004,121.535934,5312100
2020-12-02,122.849998,124.639999,122.410004,124.620003,122.976685,3690700
2020-12-03,124.160004,124.860001,123.290001,123.610001,121.980003,4548200
2020-12-04,123.970001,127.379997,123.639999,127.199997,125.522659,5522800
2020-12-07,126.489998,126.970001,124.570000,124.699997,123.055626,8318500
2020-12-08,125.320000,126.330002,124.639999,125.709999,124.052307,5395000
2020-12-09,125.800003,127.690002,125.699997,126.790001,125.118065,6513500
2020-12-10,126.349998,126.930000,124.940002,124.959999,123.312195,4803200
2020-12-11,124.080002,125.510002,123.610001,124.269997,122.631294,4481400
2020-12-14,125.320000,126.239998,123.470001,123.529999,121.901054,5050000
2020-12-15,124.389999,125.930000,123.440002,125.930000,124.269409,4359600
2020-12-16,125.930000,126.570000,125.290001,125.550003,123.894424,4530100
2020-12-17,126.080002,126.089996,124.910004,125.550003,123.894424,3788000
2020-12-18,125.589996,126.400002,124.970001,125.849998,124.190460,7552800
2020-12-21,123.970001,124.180000,121.720001,123.389999,121.762901,6115700
2020-12-22,123.309998,124.220001,122.410004,123.610001,121.980003,4336100
2020-12-23,123.879997,125.209999,123.739998,123.900002,122.266174,2693900
2020-12-24,125.000000,125.099998,124.209999,124.690002,123.045761,1761100
2020-12-28,125.099998,126.599998,124.459999,124.820000,123.174042,3615200
2020-12-29,125.349998,125.480003,123.239998,123.800003,122.167496,3487000
2020-12-30,123.800003,124.849998,123.629997,124.339996,122.700371,3380300
2020-12-31,124.220001,126.029999,123.989998,125.879997,124.220062,3574400
2021-01-04,125.849998,125.919998,123.040001,123.940002,122.305649,5179200
2021-01-05,125.010002,126.680000,124.610001,126.139999,124.476639,6114600
2021-01-06,126.900002,131.880005,126.720001,129.289993,127.585091,7956700
2021-01-07,130.039993,130.460007,128.259995,128.990005,127.289063,4507400
2021-01-08,128.570007,129.320007,126.980003,128.529999,126.835121,4676200
2021-01-11,127.949997,129.679993,127.660004,128.580002,126.884468,5602500
2021-01-12,129.089996,129.850006,127.940002,129.210007,127.506165,3749200
2021-01-13,129.149994,129.750000,126.459999,126.919998,125.246353,7677700
2021-01-14,128.020004,130.160004,127.550003,128.970001,127.269318,7503200
2021-01-15,128.279999,129.240005,127.669998,128.389999,126.696968,4905500
2021-01-19,129.279999,129.589996,128.089996,129.020004,127.318665,5398000
2021-01-20,129.699997,131.059998,128.559998,130.080002,128.364685,5598700
2021-01-21,130.119995,132.240005,130.050003,131.649994,129.913971,12819200
2021-01-22,120.699997,120.699997,117.360001,118.610001,117.045937,38063500
2021-01-25,118.760002,119.540001,117.449997,118.580002,117.016335,13686400
2021-01-26,119.180000,122.589996,118.419998,122.489998,120.874763,10694700
2021-01-27,122.080002,124.790001,121.620003,122.470001,120.855034,12146500
2021-01-28,122.800003,123.199997,120.070000,120.080002,118.496552,8084100
2021-01-29,120.220001,121.300003,118.900002,119.110001,117.539337,11772300
2021-02-01,119.900002,120.949997,118.730003,120.540001,118.950485,6250500
2021-02-02,119.360001,121.000000,119.279999,119.440002,117.864990,6341900
2021-02-03,119.040001,119.800003,118.120003,119.120003,117.549210,6715400
2021-02-04,119.910004,121.099998,118.870003,121.019997,119.424149,4562100
2021-02-05,121.000000,121.809998,120.519997,121.790001,120.183998,4563600
2021-02-08,122.620003,123.980003,122.400002,123.610001,121.980003,5888000
2021-02-09,121.900002,122.599998,121.050003,122.099998,122.099998,4717000
2021-02-10,123.029999,123.410004,121.209999,122.239998,122.239998,4866800
2021-02-11,122.000000,122.209999,120.629997,120.910004,120.910004,5380600
2021-02-12,121.000000,121.360001,120.089996,120.800003,120.800003,3868900
2021-02-16,120.150002,120.599998,119.360001,120.070000,120.070000,6639800
2021-02-17,119.269997,120.559998,119.019997,119.970001,119.970001,3959100
2021-02-18,120.500000,120.940002,119.699997,120.730003,120.730003,5398100
2021-02-19,120.750000,120.760002,118.379997,118.989998,118.989998,6578700
2021-02-22,118.500000,121.129997,118.440002,120.860001,120.860001,5879200
2021-02-23,120.919998,121.349998,119.800003,120.709999,120.709999,4531300
2021-02-24,120.800003,123.489998,120.519997,123.209999,123.209999,5820000
2021-02-25,123.370003,124.349998,122.339996,122.470001,122.470001,5691800
2021-02-26,122.250000,122.250000,118.879997,118.930000,118.930000,9044900
2021-03-01,120.349998,122.320000,119.860001,120.739998,120.739998,5714500
2021-03-02,120.739998,121.900002,120.260002,120.330002,120.330002,4522200
2021-03-03,120.500000,122.629997,119.980003,122.360001,122.360001,7396200
2021-03-04,122.000000,123.220001,118.760002,120.110001,120.110001,8062100
2021-03-05,120.639999,123.750000,120.250000,122.830002,122.830002,6944900
2021-03-08,122.989998,126.849998,122.879997,124.809998,124.809998,7236600
2021-03-09,125.400002,126.430000,124.160004,124.180000,124.180000,5608200
2021-03-10,125.050003,128.240005,124.610001,127.870003,127.870003,7243500
